"@timestamp","log.original"
"2021-04-14 00:31:27.809","2021-04-14 02:31:27,809 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618360287808, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-04-07 00:26:10.712","2021-04-07 02:26:10,712 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617755170711, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-04-07 00:26:08.424","2021-04-07 02:26:08,424 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617755168423, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-04-07 00:26:03.732","2021-04-07 02:26:03,732 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617755163731, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-04-07 00:26:01.550","2021-04-07 02:26:01,550 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617755161549, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-03-31 08:49:58.769","2021-03-31 10:49:58,769 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617180598769, type=ContextRefreshed, appName=billing, appVersion=1.0.151, scmRevision=9a12fef]"
"2021-03-31 08:49:54.951","2021-03-31 10:49:54,951 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617180594948, type=ContextRefreshed, appName=billing, appVersion=1.0.151, scmRevision=9a12fef]"
"2021-03-31 08:49:00.785","2021-03-31 10:49:00,785 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617180540785, type=ContextRefreshed, appName=billing, appVersion=1.0.151, scmRevision=9a12fef]"
"2021-03-31 08:48:57.486","2021-03-31 10:48:57,486 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617180537484, type=ContextRefreshed, appName=billing, appVersion=1.0.151, scmRevision=9a12fef]"
"2021-03-31 01:56:48.538","2021-03-31 03:56:48,538 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617155808537, type=ContextRefreshed, appName=storage, appVersion=1.0.114, scmRevision=a8ed4a3]"
